batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss,margin
16,0.000322102870561,Adam,0.8120723900726541,0.0001184509335619,1,0.257847533632287,0.8074235320091248,0.7416408135125818,0.4932735426008969,0.7696751356124878,331,116,115,330,0.6243853131026933,
32,0.0648253479251912,SGD,0.8031765466370504,0.002488774150467,1,0.289237668161435,0.7607995271682739,0.7125129265770423,0.4439461883408072,0.9282593727111816,318,129,128,317,0.6222414135029821,
32,0.0003374267297832,Adam,0.8652414723431574,0.0024112025524178,2,0.3161434977578475,0.6635052561759949,0.6856256463288521,0.4125560538116592,1.0735194683074951,306,141,140,305,0.5802628330209039,
32,0.007120772944349,Adam,0.7471963811597493,2.5045852554770577e-05,1,0.4147982062780269,0.4110743999481201,0.5874439461883408,0.2309417040358745,0.5808401107788086,262,184,184,262,0.7856350048924937,
32,0.0012395890726962,Adam,0.73771613953313,6.263842060885991e-05,2,0.336322869955157,0.362348735332489,0.6650017223561833,0.3565022421524664,0.50832599401474,297,151,149,295,0.6587798387715311,
32,0.0004213583032355,Adam,0.6515584666254199,0.0005926612725053,1,0.3026905829596412,0.6218432188034058,0.6990692864529473,0.4439461883408071,0.8274003863334656,312,135,134,311,0.6185297315770929,
32,0.0005936461700218,SGD,0.7123454632590782,2.390231127605937e-05,2,0.336322869955157,0.712755560874939,0.6654601861427094,0.3789237668161435,1.0189030170440674,297,150,149,296,0.5754342246236224,
16,0.0361297451175567,SGD,0.7633793874328644,0.0002682713126928,1,0.3609865470852018,1.0911871194839478,0.6385729058945191,0.3071748878923767,1.4478002786636353,285,162,161,284,0.6436552572430987,
16,0.0021137306803482,Adam,0.839014970517007,0.0160745305842933,1,0.4910313901345291,0.0012845970923081,0.5086177180282662,0.1188340807174887,1.2092974185943604,227,220,219,226,0.7598475615183512,
16,0.0217192820141531,Adam,0.7542721581460168,0.0354890288146711,2,0.3923766816143498,0.4279652833938598,0.6094450189589796,0.2286995515695067,0.6946872472763062,272,175,174,271,0.8200013429829569,
32,0.0008501504451235,SGD,0.6016630390779065,0.0004697366139036,2,0.3228699551569506,0.7029381394386292,0.6761970375473648,0.3789237668161435,0.9092223048210144,302,146,144,300,0.6171491769227114,
32,0.0006139623035147,SGD,0.829715454603509,2.188515649222712e-05,2,0.3094170403587444,0.7442024350166321,0.6896314157767827,0.4013452914798206,0.8411407470703125,308,140,138,306,0.5068769766525789,
16,0.0001559394523692,Adam,0.7237455262307348,5.484150290067127e-05,2,0.2780269058295964,0.7953671216964722,0.7232173613503272,0.4775784753363229,1.135125994682312,323,125,123,321,0.4379074959592385,
32,0.0763468832883738,SGD,0.5782475411761947,0.0398264012195837,1,0.3452914798206278,0.6138003468513489,0.6564977593933127,0.3228699551569506,0.6795237064361572,293,154,153,292,0.6138145982316046,
32,0.0005662244431048,Adam,0.5654382619759001,7.985034437961275e-05,2,0.2757847533632287,0.6805682182312012,0.7254564243885635,0.4775784753363229,0.816496729850769,324,124,122,322,0.5700503872199492,
16,0.0019187134548904,SGD,0.8884894242960002,0.0003965467109867,2,0.2556053811659193,0.7584375143051147,0.743368928694454,0.4910313901345291,0.7783576846122742,332,116,114,330,0.4667315862395547,
16,0.0028324032241005,SGD,0.6315428684090396,0.0005365885151921,2,0.3385650224215246,0.3279978632926941,0.662762659317947,0.3318385650224215,0.3386803269386291,296,152,150,294,0.5398346772699645,
32,0.0005661372659842,SGD,0.5271475555693836,0.0010861837262468,2,0.3475336322869955,0.7709668278694153,0.6520165460186143,0.3654708520179373,0.984432816505432,291,156,155,290,0.6152407775322596,
32,0.0603662230836459,SGD,0.7967680468467592,0.0270497342797087,1,0.3721973094170404,0.4479621648788452,0.6296104791451224,0.2645739910313902,0.4527219235897064,281,166,165,280,0.7840432145378806,
32,0.0007697761798709,Adam,0.558021381654484,0.0012562515862044,2,0.2982062780269058,0.6545016765594482,0.7050086355785837,0.4596412556053811,0.8807637691497803,314,130,132,316,0.568621935266437,
16,0.0002238906870591,SGD,0.7994059563996836,0.0003167402441829,2,0.3946188340807174,0.3582399785518646,0.6072044122716305,0.2937219730941704,0.7114418148994446,271,176,175,270,0.673194818424456,
16,0.0001377823055216,Adam,0.7331461663564074,0.0003421844126988,1,0.2914798206278027,0.7000371813774109,0.7122364327687521,0.468609865470852,0.7982379198074341,317,126,129,320,0.605872685710589,
32,0.0069043764956395,Adam,0.805484228252941,2.8000198955291183e-05,1,0.452914798206278,0.0002142205194104,0.5485704443678953,0.1188340807174887,1.0484601259231567,245,203,201,243,0.549344623630697,0.5724779800082986
32,0.0315445471706016,SGD,0.8676308352181752,1.3189811483192408e-05,2,0.3183856502242152,0.7206356525421143,0.6833850396415029,0.4125560538116591,0.9955981373786926,305,142,141,304,0.4416093857902469,0.74197694618435
32,6.055326016459974e-05,Adam,0.5753157416661837,4.337373336733072e-05,23,0.2466367713004484,0.8476545810699463,0.7533632286995515,0.531390134529148,0.9276339411735536,336,110,110,336,0.0394680921806756,0.456922688371269
32,6.169845133770337e-05,Adam,0.867753227599052,0.0009869823720257,28,0.2466367713004484,0.8706820607185364,0.7533632286995515,0.5269058295964125,0.8260100483894348,336,110,110,336,0.178499682044441,0.6373903140616646
32,0.0119525304948227,SGD,0.7547144600025053,0.0001410967261116,35,0.1581081081081081,1.8993511199951167,0.8415419783873649,0.7162162162162162,2.1730356216430664,623,118,117,622,0.0040077575378947,0.912884621071077
16,0.0018044087122709,Adam,0.6869989310636719,0.0003565762213709,43,0.3486486486486486,0.2102923244237899,0.6521603656003324,0.327027027027027,0.3761443495750427,483,259,257,481,0.2391113506423102,0.3554620452499574
16,0.0004353456803803,SGD,0.5560281861396511,2.3424901121363327e-05,11,0.2608108108108108,0.8471112251281738,0.7402327514546966,0.508108108108108,0.9889479875564576,548,193,192,547,0.1934730165327588,0.8579999081625016
32,5.597105498331092e-05,SGD,0.6058551340182907,0.0040900142410286,20,0.3527027027027027,0.6896068453788757,0.6483790523690773,0.3378378378378378,1.0824124813079834,480,261,260,479,0.2009611320854337,0.3927047866713864
16,0.0001312311979839,Adam,0.5913901289067388,0.0022536072208568,18,0.2054054054054054,0.8426780104637146,0.7959459459459459,0.6013513513513513,0.9164873361587524,589,151,151,589,0.0605776858757491,0.4962888841883518
32,0.0035694722783567,Adam,0.6297935851646909,5.814806813779625e-05,34,0.254054054054054,1.5851036310195925,0.7450166112956811,0.5405405405405405,1.9576983451843264,552,191,188,549,0.3066487402689677,0.9747559115977852
16,0.0001519007454993,SGD,0.8256660301685916,0.0002042037701861,30,0.2378378378378378,0.9379766583442688,0.7631961762261014,0.5540540540540541,1.055662989616394,565,176,175,564,0.0425432287242815,0.6638154821934863
16,7.074173140484778e-05,SGD,0.5207223463293565,0.0014536484885442,43,0.2972972972972973,0.8086749315261841,0.703761429758936,0.4378378378378378,0.901688277721405,521,220,219,520,0.2217066295582939,0.6387692145091353
32,0.0005704866357503,Adam,0.8005233920102497,5.740858007396442e-05,11,0.2216216216216216,0.6350358724594116,0.7794056525353283,0.5743243243243243,0.708872377872467,577,164,163,576,0.0660919604771253,0.3186377701770743
32,0.0005087330333798,SGD,0.6979298248390017,0.0008357855589659,26,0.2716216216216216,0.6842312216758728,0.7274709302325582,0.4864864864864865,0.8460737466812134,539,204,201,536,0.0635139811180394,0.6485642749960359
32,0.0008351907718631,Adam,0.6441183620457399,0.0009286085150852,49,0.2932432432432432,1.278964877128601,0.7081081081081081,0.477027027027027,1.8821344375610352,524,216,216,524,0.1784672667444856,0.8427667549653584
32,0.0002963737066289,SGD,0.631401862664845,0.0136813995917858,13,0.2486486486486486,0.9006998538970947,0.7510390689941812,0.5108108108108109,0.9928432703018188,556,185,184,555,0.1846457898478817,0.8633124544211694
32,0.0008018838375431,Adam,0.8532468662456292,2.016223975175037e-05,50,0.2189189189189189,1.3671547174453735,0.780107973421927,0.5662162162162162,1.6543340682983398,578,165,162,575,0.0432270946826233,0.5914178817620372
16,0.0003544110214378,Adam,0.5889489059465338,0.0010567578027451,22,0.3013513513513513,0.5896708369255066,0.6983582709891937,0.4554054054054054,0.8391636610031128,517,224,223,516,0.1452163786247924,0.3668118782983754
16,0.0003304199332553,SGD,0.8001425595304692,1.249817457314214e-05,17,0.2472972972972973,0.8336437940597534,0.7537406483790524,0.5324324324324324,1.0004949569702148,558,183,182,557,0.0450744684871838,0.4951557837040625
32,0.064878226470671,SGD,0.603520711241274,0.0182833791297259,39,0.3972972972972973,0.7620210647583008,0.6035521395928541,0.2635135135135135,1.2300502061843872,447,295,293,445,0.6017908583636637,0.9342701301055796
16,0.0005026921086703,SGD,0.6879030577467377,0.0687528040393884,36,0.2121621621621621,0.8454136252403259,0.7875103906899418,0.6027027027027028,0.9993452429771424,583,158,157,582,0.0196821052555201,0.8146474890004545
32,0.0001967705470376,Adam,0.7520768159181206,0.0478171152340176,30,0.4054054054054054,0.3135175704956054,0.5943474646716542,0.2175675675675675,0.6479553580284119,440,301,300,439,0.4108820688669328,0.611790410708893
16,5.890835604519261e-05,Adam,0.8960467490239308,0.0002088487891455,30,0.1837837837837838,0.9741426706314088,0.8168882426256752,0.6445945945945947,0.9155766367912292,605,137,135,603,0.0122783500399371,0.6277598231415885
32,0.0270009055989255,SGD,0.5776270081972567,0.0337918219422052,41,0.3013513513513513,0.5465986132621765,0.7,0.4283783783783784,0.6754032373428345,518,222,222,518,0.2972983509578086,0.5820710244897107
16,0.0083132679551195,SGD,0.8793717051744503,0.0014087804361899,42,0.2337837837837837,0.8093230724334717,0.7672485453034081,0.5635135135135135,1.0505317449569702,568,173,172,567,0.0173417793940407,0.446209250999531
