batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss
32,2.6014452216634584e-05,SGD,0.5339547066163729,0.010412465911671,38,0.3146666666666666,1.0195326805114746,0.6861037097765935,0.3813333333333333,1.0215022563934326,515,237,235,513,0.8102798456495458
32,7.441662757385547e-05,SGD,0.8448164751475522,0.0817673873339791,42,0.2613333333333333,0.9443907737731934,0.7396965347549723,0.5093333333333333,1.0488574504852295,555,196,195,554,0.5049076654694297
32,0.0001125202680784,SGD,0.7664672870005094,0.0834394155130117,25,0.2946666666666667,0.9783796668052672,0.7063768710272709,0.4173333333333333,0.9874224066734314,530,221,220,529,0.6174710913137956
16,0.0005623863093728,SGD,0.5956667844433278,0.0016137663008842,18,0.2586666666666666,1.2694171667099,0.7420577987292478,0.508,1.3222280740737915,557,195,193,555,0.4680590526624159
16,0.0234225489385746,Adam,0.7940953617310003,4.814257782581221e-05,33,0.3506666666666667,1.0537089109420776,0.6498668305675066,0.3973333333333333,0.7078763246536255,488,265,262,485,0.4013801422308792
32,0.0007834248798473,SGD,0.8571906894139002,1.907534816136287e-05,18,0.168,1.773638129234314,0.8313178930108629,0.6799999999999999,1.943120360374451,624,128,126,622,0.1780743459747596
16,3.031973504326153e-05,Adam,0.7163562489217035,0.0667410697245085,39,0.144,0.9393345713615416,0.8573333333333333,0.7320000000000001,0.9864898324012756,643,107,107,643,0.1841605722904205
32,0.0022196281251419,SGD,0.5073891825470869,0.0007527685094783,18,0.184,1.7250834703445437,0.8180045165263806,0.6626666666666667,1.7988711595535278,613,135,137,615,0.206641084971753
64,1.7376451183490916e-05,SGD,0.5066002611960753,0.003054445832887,34,0.336,1.0131800174713137,0.6631837738168408,0.3359999999999999,1.0389083623886108,498,255,252,495,0.8355533047155901
16,0.0020694299982173,SGD,0.811027911035566,0.0040070870585141,27,0.1093333333333333,1.8635427951812744,0.891634201353291,0.8079999999999999,2.073605298995972,669,82,81,668,0.0700485316189852
64,0.0005608766653843,Adam,0.8085849214956499,0.0255443687900915,38,0.1613333333333333,1.265014886856079,0.8393113342898135,0.6973333333333334,1.3417755365371704,630,122,120,628,0.1651590306650508
16,0.0858153891944442,Adam,0.5643624951290898,0.0007889265349754,27,0.2386666666666666,4.284663200378418,0.7611054247697032,0.5853333333333333,3.2045066356658936,572,183,178,567,3.351512212238529
32,0.017947250446875,SGD,0.6246746785164755,0.0028569039669301,23,0.0586666666666666,1.9826372861862185,0.9405615904898544,0.8853333333333334,2.123600006103516,706,46,44,704,0.0189735744995149
16,0.0406277179676809,Adam,0.6364460121457589,0.0485391193133569,20,0.3066666666666666,0.8708315491676331,0.6943817920852984,0.4093333333333333,1.2213072776794434,521,230,229,520,0.6921067695726048
64,1.3431076638510294e-05,SGD,0.7594116377851585,1.0644998941877591e-05,28,0.3493333333333333,1.0159106254577637,0.6503998359647324,0.3346666666666666,1.0860445499420166,488,263,262,487,0.8231163620948792
64,0.0026780941623736,SGD,0.8505619753851502,0.0128788937850632,10,0.14,1.4890642166137695,0.858591030104444,0.7213333333333334,1.5463168621063232,645,109,105,641,0.151412984220819
64,0.0387454754027161,Adam,0.5198367176710794,0.0405369824288421,11,0.3266666666666666,0.692689836025238,0.6730572072995694,0.3946666666666666,0.9085370898246764,505,246,245,504,0.686249024217779
64,2.6418208282713783e-05,SGD,0.5293938505786621,0.0485511847576463,33,0.332,1.0380492210388184,0.6687845870055339,0.36,1.0963760614395142,502,250,248,500,0.8256127606738698
16,0.0012542690549009,Adam,0.8756479757741733,0.0001547372050476,12,0.092,6.302987575531006,0.908,0.8173333333333334,6.302987575531006,681,69,69,681,0.0940065353431485
64,0.0319333470820826,SGD,0.7621281629804249,9.363962423115154e-05,24,0.06,3.576210260391236,0.939614517121181,0.8839999999999999,3.494319438934326,705,46,45,704,0.0039639487354592
16,0.0024611187256423,Adam,0.79031775772366,0.0233051132379645,25,0.204,1.0635989904403689,0.7966796474687436,0.6213333333333333,1.3636902570724487,598,154,152,596,0.3361802263693376
16,2.6275914476666905e-05,SGD,0.5158969784704415,0.0032006922497976,26,0.3333333333333333,1.0287951231002808,0.6663932745540291,0.3440000000000001,1.079931616783142,500,251,250,499,0.830248359116641
32,3.042555841923791e-05,Adam,0.8421986112656672,0.0096618147516366,33,0.0973333333333333,1.500312328338623,0.9022964937461554,0.8106666666666668,1.430951476097107,677,74,73,676,0.05191546397453
16,5.8378992442053406e-05,SGD,0.5793912119394495,0.0016287276494034,35,0.3013333333333333,1.0815929174423218,0.6997129382817305,0.4519999999999999,1.1822795867919922,525,226,225,524,0.7396074614741586
32,0.0009380737836118,Adam,0.7037569384993067,1.2731174600451016e-05,28,0.0826666666666666,7.950868129730225,0.9173333333333332,0.836,7.950868129730225,688,62,62,688,0.0238675438544966
32,0.0461858573135876,SGD,0.636590449752735,0.0782252731422311,24,0.2933333333333333,0.4120499193668365,0.7077096575763789,0.4413333333333333,0.4818230867385864,531,220,219,530,0.5870672694661401
